Tablets, Expected Value
1, 1
2, 1.5
3, 1.8888888888888888
4, 2.21875
5, 2.5104000000000006
6, 2.7746913580246915
7, 3.018138700711438
8, 3.2450180053710938
9, 3.4583157448856556
10, 3.66021568
11, 3.8523720507373587
12, 4.036073675098951
13, 4.21234791295252
14, 4.382029424383519
15, 4.5458072851472275
16, 4.704258247072678
17, 4.857870820801627
18, 5.007063098992895
19, 5.152196200957447
20, 5.293584586000901
21, 5.431504083352785
22, 5.566198227860141
23, 5.697883318946516
24, 5.826752503922588
25, 5.95297910624526
26, 6.076719362686103
27, 6.1981146928789155
28, 6.317293595343385
29, 6.4343732424888564
30, 6.549460831033025
31, 6.662654732175782
32, 6.77404547666974
33, 6.883716602864638
34, 6.9917453903280515
35, 7.098203497366233
36, 7.20315751739855
37, 7.306669466464355
38, 7.408797212003698
39, 7.509594851334212
40, 7.609113046854897
41, 7.707399323875021
42, 7.804498336038989
43, 7.900452102555002
44, 7.995300220804556
45, 8.089080057385416
46, 8.181826920203216
47, 8.273574213860181
48, 8.36435358028074
49, 8.45419502625295
50, 8.54312703934395
51, 8.631176693458752
52, 8.718369745151708
53, 8.804730721661834
54, 8.890283001525017
55, 8.975048888514117
56, 9.059049679569762
57, 9.142305727308335
58, 9.224836497626809
59, 9.306660622866804
60, 9.387795950949046
61, 9.46825959084545
62, 9.54806795471703
63, 9.627236797011744
64, 9.705781250786
65, 9.78371586148722
66, 9.861054618410884
67, 9.937810984024956
68, 10.01399792133569
69, 10.089627919452331
70, 10.164713017493716
71, 10.23926482696607
72, 10.313294552730069
73, 10.38681301266426
74, 10.459830656122529
75, 10.532357581274928
76, 10.60440355141317
77, 10.675978010295506
78, 10.747090096599186
79, 10.817748657543149
80, 10.887962261738426
81, 10.957739211319144
82, 11.027087553402678
83, 11.096015090923858
84, 11.164529392884365
85, 11.23263780405561
86, 11.300347454170183
87, 11.367665266634434
88, 11.434597966792433
89, 11.50115208976917
90, 11.567333987918724
91, 11.633149837901856
92, 11.698605647414846
93, 11.763707261590625
94, 11.82846036909159
95, 11.892870507911638
96, 11.956943070904728
97, 12.020683311055203
98, 12.084096346504568
99, 12.14718716534839
100, 12.209960630215978
101, 12.272421482644745
102, 12.334574347260444
103, 12.396423735773624
104, 12.457974050802253
105, 12.51922958952935
106, 12.580194547204629
107, 12.640873020497894
108, 12.701269010711968
109, 12.761386426862195
110, 12.82122908862935
111, 12.880800729191954
112, 12.940104997944424
113, 12.999145463106206
114, 13.057925614227422
115, 13.11644886459594
116, 13.174718553550573
117, 13.232737948704786
118, 13.2905102480853
119, 13.34803858218919
120, 13.405326015963638
121, 13.462375550711592
122, 13.519190125926835
123, 13.575772621061454
124, 13.632125857229003
125, 13.688252598846
126, 13.744155555214448
127, 13.799837382048064
128, 13.855300682944643
129, 13.910548010806686
130, 13.965581869212768
131, 14.020404713741435
132, 14.075018953249932
133, 14.129426951109211
134, 14.183631026397569
135, 14.23763345505408
136, 14.291436470993853
137, 14.345042267186344
138, 14.398452996698502
139, 14.451670773703881
140, 14.504697674459226
141, 14.557535738249738
142, 14.610186968304257
143, 14.662653332681574
144, 14.714936765128803
145, 14.767039165913145
146, 14.818962402627735
147, 14.870708310973027
148, 14.922278695513858
149, 14.973675330414043
150, 15.024899960148456
151, 15.07595430019406
152, 15.126840037700227
153, 15.177558832139372
