Proportion, Expected Value
0.0001, 99.50900580672217
0.0002, 99.02587919668142
0.00030000000000000003, 98.55041012207396
0.0004, 98.082396233984
0.0005, 97.62164252743403
0.0006000000000000001, 97.16796100602437
0.0007, 96.7211703649098
0.0008, 96.28109569094975
0.0009000000000000001, 95.84756817895268
0.001, 95.42042486301308
0.0011, 94.99950836200881
0.0012000000000000001, 94.5846666383948
0.0013000000000000002, 94.17575276948199
0.0014, 93.77262473045694
0.0015, 93.37514518843946
0.0016, 92.9831813069259
0.0017000000000000001, 92.59660456001069
0.0018000000000000002, 92.21529055581905
0.0019, 91.8391188686184
0.002, 91.46797287911401
0.0021000000000000003, 91.10173962246539
0.0022, 90.74030964359027
0.0023, 90.38357685934666
0.0024000000000000002, 90.03143842721828
0.0025, 89.68379462014134
0.0026000000000000003, 89.34054870714272
0.0027, 89.00160683947291
0.0028, 88.66687794194218
0.0029000000000000002, 88.33627360918035
0.003, 88.00970800656279
0.0031000000000000003, 87.68709777555807
0.0032, 87.368361943268
0.0033, 87.0534218359419
0.0034000000000000002, 86.74220099626467
0.0035, 86.4346251042251
0.0036000000000000003, 86.13062190138373
0.0037, 85.83012111837412
0.0038, 85.533054405468
0.0039000000000000003, 85.2393552660655
0.004, 84.94895899295653
0.0041, 84.66180260722388
0.004200000000000001, 84.37782479965952
0.0043, 84.09696587457394
0.0044, 83.81916769588345
0.0045000000000000005, 83.54437363536974
0.0046, 83.27252852300725
0.0047, 83.0035785992638
0.0048000000000000004, 82.73747146928402
0.0049, 82.47415605886424
0.005, 82.21358257214419
0.0051, 81.955702450931
0.005200000000000001, 81.70046833558523
0.0053, 81.44783402740043
0.0054, 81.19775445240417
0.0055000000000000005, 80.9501856265239
0.0056, 80.7050846220552
0.0057, 80.46240953537412
0.0058000000000000005, 80.22211945584174
0.0059, 79.98417443584923
0.006, 79.7485354619542
0.0061, 79.51516442706092
0.006200000000000001, 79.28402410360354
0.0063, 79.055078117686
0.0064, 78.82829092414138
0.006500000000000001, 78.60362778247226
0.0066, 78.3810547336352
0.0067, 78.16053857763373
0.0068000000000000005, 77.94204685189052
0.006900000000000001, 77.72554781036168
0.007, 77.51101040336924
0.0071, 77.29840425811777
0.007200000000000001, 77.08769965987197
0.0073, 76.8788675337667
0.0074, 76.67187942722546
0.007500000000000001, 76.46670749296301
0.0076, 76.26332447255092
0.0077, 76.06170368052169
0.0078000000000000005, 75.86181898899345
0.0079, 75.66364481279362
0.008, 75.46715609506236
0.0081, 75.27232829332053
0.0082, 75.07913736597938
0.0083, 74.88755975928235
0.008400000000000001, 74.69757239465586
0.0085, 74.50915265645989
0.0086, 74.32227838011907
0.008700000000000001, 74.13692784062458
0.0088, 73.95307974138898
0.0089, 73.77071320344535
0.009000000000000001, 73.58980775497514
0.0091, 73.41034332115531
0.0092, 73.23230021431127
0.009300000000000001, 73.05565912436685
0.0094, 72.88040110957964
0.0095, 72.70650758755184
0.009600000000000001, 72.53396032650652
0.0097, 72.3627414368224
0.0098, 72.19283336281515
0.0099, 72.02421887475795
0.01, 71.85688106113427
0.010100000000000001, 71.69080332111395
0.0102, 71.52596935724479
0.0103, 71.36236316835202
0.010400000000000001, 71.1999690426416
0.0105, 71.03877155099575
0.0106, 70.87875554045912
0.010700000000000001, 70.71990612790562
0.0108, 70.56220869388322
0.0109, 70.40564887662717
0.011000000000000001, 70.25021256624021
0.0111, 70.09588589903113
0.0112, 69.94265525200827
0.011300000000000001, 69.79050723752282
0.0114, 69.63942869805668
0.0115, 69.48940670115005
0.011600000000000001, 69.3404285344661
0.0117, 69.19248170098608
0.0118, 69.04555391433158
0.0119, 68.8996330942119
0.012, 68.75470736198903
0.012100000000000001, 68.6107650363598
0.0122, 68.46779462915042
0.0123, 68.32578484121942
0.012400000000000001, 68.18472455846621
0.0125, 68.04460284794276
0.0126, 67.90540895406414
0.012700000000000001, 67.76713229491541
0.0128, 67.62976245865212
0.0129, 67.4932891999917
0.013000000000000001, 67.35770243679224
0.0131, 67.22299224671781
0.0132, 67.08914886398601
0.013300000000000001, 66.95616267619553
0.0134, 66.824024221233
0.0135, 66.692724184255
0.013600000000000001, 66.56225339474422
0.0137, 66.4326028236369
0.013800000000000002, 66.30376358051984
0.013900000000000001, 66.17572691089497
0.014, 66.04848419351072
0.014100000000000001, 65.92202693775435
0.0142, 65.79634678111051
0.0143, 65.67143548667548
0.014400000000000001, 65.54728494073362
0.0145, 65.42388715038955
0.0146, 65.30123424125469
0.014700000000000001, 65.17931845518983
0.0148, 65.05813214809788
0.0149, 64.93766778776948
0.015000000000000001, 64.8179179517769
0.0151, 64.69887532541682
0.0152, 64.58053269970024
0.015300000000000001, 64.4628829693871
0.0154, 64.34591913106681
0.0155, 64.22963428128107
0.015600000000000001, 64.1140216146885
0.015700000000000002, 63.99907442227176
0.0158, 63.88478608958348
0.0159, 63.7711500950308
0.016, 63.658160008199175
0.0161, 63.545809488211766
0.0162, 63.43409228212558
0.016300000000000002, 63.32300222336174
0.0164, 63.21253323017149
0.0165, 63.1026793041335
0.0166, 62.993434528685015
0.0167, 62.88479306768409
0.016800000000000002, 62.776749164002275
0.016900000000000002, 62.669297138148046
0.017, 62.56243138691885
0.0171, 62.45614638208179
0.0172, 62.35043666908258
0.0173, 62.24529686578112
0.017400000000000002, 62.14072166121357
0.0175, 62.036705814380376
0.0176, 61.9332441530596
0.0177, 61.83033157264449
0.0178, 61.7279630350054
0.0179, 61.626133567374126
0.018000000000000002, 61.52483826125286
0.0181, 61.42407227134299
0.0182, 61.3238308144984
